id,title,type,status,year,season,genre,rating,totalEpisodes,source,siteUrl
animeav1-kimi-no-koto-ga-daidaidaidaidaisuki-na-100-nin-no-kanojo-3rd-season,Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo 3rd Season,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/kimi-no-koto-ga-daidaidaidaidaisuki-na-100-nin-no-kanojo-3rd-season
animeav1-mahou-shoujo-lyrical-nanoha-exceeds-gun-blaze-vengeance,Mahou Shoujo Lyrical Nanoha EXCEEDS: Gun Blaze Vengeance,TV,,,,romance,,,AnimeAV1,https://animeav1.com/media/mahou-shoujo-lyrical-nanoha-exceeds-gun-blaze-vengeance
animeav1-grow-up-show-himawari-no-circus-dan,Grow Up Show: Himawari no Circus-dan,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/grow-up-show-himawari-no-circus-dan
animeav1-oni-no-hanayome,Oni no Hanayome,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/oni-no-hanayome
animeav1-tetsunabe-no-jan,Tetsunabe no Jan!,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/tetsunabe-no-jan
animeav1-one-piece-heroines,One Piece: Heroines,ESPECIAL,,,,anime,,,AnimeAV1,https://animeav1.com/media/one-piece-heroines
animeav1-kimi-wo-aisuru-ki-wa-nai-to-itta-jiki-koushaku-sama-ga-nazeka-dekiai-shitekimasu,"""Kimi wo Aisuru Ki wa Nai"" to Itta Jiki Koushaku-sama ga Nazeka Dekiai shitekimasu",TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/kimi-wo-aisuru-ki-wa-nai-to-itta-jiki-koushaku-sama-ga-nazeka-dekiai-shitekimasu
animeav1-lets-go-kaiki-gumi,Let's Go Kaiki-gumi,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/lets-go-kaiki-gumi
animeav1-seihantai-na-kimi-to-boku-2nd-season,Seihantai na Kimi to Boku 2nd Season,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/seihantai-na-kimi-to-boku-2nd-season
animeav1-saijo-no-osewa-takane-no-hanadarake-na-meimonkou-de-gakuin-ichi-no-ojousama-seikatsu-nouryoku-kaimu-wo-kagenagara-osewa-suru-koto-ni-narimashita,"Saijo no Osewa: Takane no Hanadarake na Meimonkou de, Gakuin Ichi no Ojousama (Seikatsu Nouryoku Kaimu) wo Kagenagara Osewa suru Koto ni Narimashita",TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/saijo-no-osewa-takane-no-hanadarake-na-meimonkou-de-gakuin-ichi-no-ojousama-seikatsu-nouryoku-kaimu-wo-kagenagara-osewa-suru-koto-ni-narimashita
animeav1-kabushikigaisha-magi-lumiere-2nd-season,Kabushikigaisha Magi-Lumière 2nd Season,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/kabushikigaisha-magi-lumiere-2nd-season
animeav1-nijusseiki-denki-mokuroku-eureka-evrika,Nijusseiki Denki Mokuroku: Eureka Evrika,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/nijusseiki-denki-mokuroku-eureka-evrika
animeav1-uchi-no-otouto-domo-ga-sumimasen,Uchi no Otouto-domo ga Sumimasen,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/uchi-no-otouto-domo-ga-sumimasen
animeav1-neko-to-ryuu,Neko to Ryuu,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/neko-to-ryuu
animeav1-hell-mode-yarikomizuki-no-gamer-wa-hai-settei-no-isekai-de-musou-suru-2nd-season,Hell Mode: Yarikomizuki no Gamer wa Hai Settei no Isekai de Musou suru 2nd Season,TV,,,,fantasy,,,AnimeAV1,https://animeav1.com/media/hell-mode-yarikomizuki-no-gamer-wa-hai-settei-no-isekai-de-musou-suru-2nd-season
animeav1-tenmaku-no-jaadugar,Tenmaku no Jaadugar,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/tenmaku-no-jaadugar
animeav1-black-torch,Black Torch,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/black-torch
animeav1-iwamoto-senpai-no-suisen,Iwamoto-senpai no Suisen,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/iwamoto-senpai-no-suisen
animeav1-bai-ri-cheng-wang,Bai Ri Cheng Wang,ONA,,,,anime,,,AnimeAV1,https://animeav1.com/media/bai-ri-cheng-wang
animeav1-otome-kaijuu-carameliser,Otome Kaijuu Caraméliser,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/otome-kaijuu-carameliser
animeav1-yani-neko,Yani Neko,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/yani-neko
animeav1-kore-kaite-shine,Kore Kaite Shine,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/kore-kaite-shine
animeav1-tsuihou-sareta-tensei-juukishi-wa-game-chishiki-de-musou-suru,Tsuihou sareta Tensei Juukishi wa Game Chishiki de Musou suru,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/tsuihou-sareta-tensei-juukishi-wa-game-chishiki-de-musou-suru
animeav1-hanazakari-no-kimitachi-e-2nd-season,Hanazakari no Kimitachi e 2nd Season,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/hanazakari-no-kimitachi-e-2nd-season
animeav1-bang-dream-yumemita,BanG Dream! Yume∞Mita,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/bang-dream-yumemita
